year,month,unemployed,unemployment_rate,manufacturing_job,accomodation_jobs,foodservice_job,building_permit,total_visitor_days,domestic_visitor_days,international_visitor_days
1990, Jan ,"15,100",2.8,20700,38300,46200,115544,4704495,3311731,1392763
1990, Feb ,"13,850",2.6,20900,38600,46900,154940,4363601,3150147,1213454
1990, Mar ,"13,650",2.5,20900,36600,47300,151929,4740832,3479128,1261704
1990, Apr ,"15,000",2.7,20500,39100,47200,220829,4562490,3401954,1160536
1990, May ,"14,700",2.7,20300,39000,47200,144128,4427904,3369215,1058690
1990, Jun ,"18,000",3.2,20600,38800,47900,177969,5099786,3831734,1268051
1990, Jul ,"14,400",2.6,20700,38600,47500,152072,5390761,3940443,1450319
1990, Aug ,"13,550",2.4,20600,39000,47700,135859,5538594,4000935,1537658
1990, Sep ,"15,650",2.8,20500,38600,47000,189748,4178084,3073711,1104374
1990, Oct ,"13,350",2.4,20400,38800,47100,250986,4335155,3268718,1066437
1990, Nov ,"14,000",2.5,20500,40100,47500,167518,4408589,3291044,1117546
1990, Dec ,"10,750",1.9,20400,40600,47800,240245,4648237,3150424,1497813
1991, Jan ,"14,050",2.5,20300,40900,47000,188759,4368203,3027408,1340795
1991, Feb ,"14,250",2.5,20300,40200,47100,223763,3378490,2499259,879231
1991, Mar ,"15,550",2.8,20000,39400,47100,410433,4287159,3313322,973837
1991, Apr ,"14,750",2.6,19800,39400,46600,164768,4266310,3207817,1058492
1991, May ,"14,100",2.5,19800,39700,47000,174575,4345228,3217454,1127775
1991, Jun ,"19,400",3.4,20100,39600,47900,89725,4913825,3560158,1353667
1991, Jul ,"15,900",2.8,20100,40400,48200,256192,5321215,3792580,1528635
1991, Aug ,"15,300",2.7,19900,41700,48100,137590,5432322,3859185,1573137
1991, Sep ,"17,950",3.2,19800,41700,47300,97782,4406954,3043046,1363908
1991, Oct ,"15,450",2.7,19700,41100,46600,114504,4214705,3027226,1187478
1991, Nov ,"16,600",2.9,19600,41300,46700,94826,4217294,2943480,1273814
1991, Dec ,"16,150",2.8,19300,42000,47100,198932,4621096,3084361,1536736
1992, Jan ,"19,300",3.4,18600,41700,47400,90023,4654206,3157955,1496251
1992, Feb ,"21,000",3.7,18800,41500,47600,246899,4523418,3061649,1461769
1992, Mar ,"20,900",3.6,18700,41300,47900,159371,4620746,3273397,1347349
1992, Apr ,"20,650",3.6,18700,41500,47700,161072,4437338,3271638,1165700
1992, May ,"23,150",4,18700,41400,47800,111890,4442848,3111567,1331282
1992, Jun ,"29,100",5,19100,41100,48200,165391,4868923,3373756,1495167
1992, Jul ,"25,750",4.4,19600,40800,48100,162769,4991949,3490464,1501485
1992, Aug ,"25,350",4.4,19300,41200,48000,137036,5119453,3576554,1542899
1992, Sep ,"24,450",4.3,18800,40500,47400,201120,4395511,2978265,1417246
1992, Oct ,"26,350",4.6,18700,40000,45700,106268,4518893,3361966,1156926
1992, Nov ,"27,250",4.7,18600,40100,46000,95860,4520073,3285681,1234392
1992, Dec ,"23,850",4.1,18500,40400,46800,114172,4629593,3068666,1560927
1993, Jan ,"26,550",4.6,17700,38900,45800,98594,4625162,2981943,1643219
1993, Feb ,"25,950",4.5,17700,38500,46300,92094,4294128,2939578,1354550
1993, Mar ,"25,550",4.4,17800,38400,46100,112603,4774371,3315300,1459071
1993, Apr ,"24,400",4.2,17800,38000,46100,119880,4294015,3091481,1202534
1993, May ,"24,450",4.2,17700,38100,46300,123353,4316340,2982816,1333524
1993, Jun ,"29,300",5,17900,38100,46300,131129,4450495,3069005,1381491
1993, Jul ,"25,600",4.3,17800,37700,46400,166867,4875766,3342192,1533574
1993, Aug ,"24,700",4.2,17700,37700,46400,158997,4983199,3328792,1654407
1993, Sep ,"24,850",4.3,17500,37400,46000,127070,4050958,2653125,1397833
1993, Oct ,"24,400",4.2,17300,37600,45800,137394,4393476,3120714,1272762
1993, Nov ,"25,450",4.4,17200,37200,45900,146632,4259606,2930409,1329196
1993, Dec ,"23,500",4,17200,37400,46000,90805,4519177,2901546,1617631
1994, Jan ,"29,950",5.1,16500,37600,45900,90124,4376091,2879382,1496709
1994, Feb ,"29,600",5.1,16700,37700,45900,100958,4656015,3153652,1502363
1994, Mar ,"29,650",5.1,16900,37900,46000,111724,5259762,3643154,1616609
1994, Apr ,"29,800",5.1,17100,37800,45700,131765,4481473,3281124,1200349
1994, May ,"29,100",5,17000,37700,45700,179489,4338628,3031353,1307274
1994, Jun ,"33,500",5.7,17100,37700,46500,141263,4885004,3514824,1370180
1994, Jul ,"32,650",5.6,17100,38200,46900,209345,5220741,3671743,1548998
1994, Aug ,"31,750",5.4,17000,37900,47000,112217,5449762,3707334,1742428
1994, Sep ,"32,200",5.6,17000,37900,46600,139556,4340256,2828618,1511638
1994, Oct ,"30,450",5.3,16600,38000,46200,142909,4492353,3145523,1346830
1994, Nov ,"29,200",5,16400,38200,46600,152557,4695927,3286268,1409659
1994, Dec ,"25,550",4.4,16400,38300,47700,100991,4973804,3241949,1731855
1995, Jan ,"30,500",5.2,16200,38100,46900,106700,4598397,3082084,1516313
1995, Feb ,"28,200",4.9,16100,37800,47100,146109,4450811,3159270,1291541
1995, Mar ,"28,550",4.9,16100,37700,47300,169590,5001748,3443867,1557881
1995, Apr ,"31,850",5.4,16100,37600,47000,173942,4434471,3222384,1212087
1995, May ,"31,950",5.5,16100,37500,46200,99914,4439828,2976478,1463350
1995, Jun ,"36,500",6.2,16300,37200,47800,201811,5009335,3500142,1509193
1995, Jul ,"34,850",5.9,16400,37400,47900,155089,5389150,3532106,1857044
1995, Aug ,"34,500",5.9,16500,37800,47700,79673,5483312,3598805,1884506
1995, Sep ,"35,200",6.1,16400,37500,47400,145288,4395253,2716490,1678764
1995, Oct ,"33,250",5.7,16300,37200,46900,102061,4597356,3167645,1429711
1995, Nov ,"31,900",5.5,16400,37800,47000,69645,4587407,3079189,1508218
1995, Dec ,"29,700",5.1,16400,37900,47600,81496,4953811,3083248,1870563
1996, Jan ,"36,100",6.1,16000,37800,47200,76711,4657236,3035291,1621945
1996, Feb ,"34,200",5.8,15900,38300,47500,105994,4965859,3359315,1606544
1996, Mar ,"34,300",5.8,16000,38500,47800,97774,5123868,3480341,1643527
1996, Apr ,"35,400",6,15800,37900,47100,94402,4488372,3170903,1317469
1996, May ,"34,850",5.9,15900,37900,47100,92820,4585832,3177503,1408329
1996, Jun ,"38,450",6.4,16000,38000,47700,80998,5239748,3672407,1567341
1996, Jul ,"37,000",6.1,16400,38300,47700,140340,5368815,3567537,1801279
1996, Aug ,"34,450",5.8,16200,38600,48200,122015,5518280,3768492,1749789
1996, Sep ,"35,650",6,15900,38600,48200,89966,4438803,2845524,1593278
1996, Oct ,"33,700",5.7,15900,38400,47400,84395,4406540,2947870,1458670
1996, Nov ,"37,150",6.2,15900,38600,47500,73405,4429987,2984123,1445863
1996, Dec ,"32,950",5.5,16000,39300,48000,58940,4713189,2934660,1778529
1997, Jan ,"36,250",6,15700,39000,47200,87858,4509533,3016423,1493109
1997, Feb ,"35,300",5.9,15800,38900,47500,77901,4603321,3060017,1543304
1997, Mar ,"35,400",5.9,16000,39000,47400,93186,5238218,3575788,1662430
1997, Apr ,"35,100",5.8,15800,38400,47200,99989,4539350,3243908,1295441
1997, May ,"35,150",5.9,15800,37900,47400,209656,4408084,3042385,1365699
1997, Jun ,"40,900",6.7,16100,37500,47900,115936,4910141,3506009,1404132
1997, Jul ,"37,500",6.2,16200,37800,47700,87720,5299717,3676737,1622980
1997, Aug ,"36,250",6,16100,38000,48100,96153,5359359,3735865,1623493
1997, Sep ,"37,950",6.3,15700,37900,47700,82089,4552427,2939592,1612835
1997, Oct ,"33,850",5.7,15800,38000,47200,78807,4619859,3272667,1347192
1997, Nov ,"33,300",5.5,15900,38100,47600,71359,4525347,3153701,1371646
1997, Dec ,"32,100",5.3,16000,38500,48100,78527,4808007,3203973,1604034
1998, Jan ,"33,800",5.6,15800,38300,47200,64427,5370977,3733968,1637009
1998, Feb ,"33,250",5.6,15600,38400,47600,89452,4824140,3327522,1496618
1998, Mar ,"35,200",5.8,15800,38600,47900,106541,4953051,3502439,1450611
1998, Apr ,"31,550",5.2,15600,38200,47800,75500,4453853,3291046,1162808
1998, May ,"34,450",5.7,15700,38000,48300,89167,4180819,3028615,1152204
1998, Jun ,"40,300",6.6,15900,37700,48400,81983,4907805,3719394,1188411
1998, Jul ,"36,750",6,16100,37700,48300,105141,5339987,3873706,1466281
1998, Aug ,"35,600",5.9,15900,37600,48600,76871,5151563,3605228,1546335
1998, Sep ,"38,750",6.4,15700,37400,48600,113943,4083329,2799425,1283905
1998, Oct ,"35,700",5.9,15700,37300,47900,91808,4340742,3168040,1172702
1998, Nov ,"34,300",5.7,15800,37600,48300,76247,4403472,3069593,1333878
1998, Dec ,"31,650",5.2,15800,37700,48800,83201,5437174,3785962,1651213
1999, Jan ,"33,750",5.6,15600,37500,47700,71933,5572576,3859508,1713068
1999, Feb ,"32,550",5.4,15600,37600,48000,153033,4998165,3399031,1599132
1999, Mar ,"31,850",5.3,15700,37700,48800,117909,5142171,3543106,1599065
1999, Apr ,"32,150",5.3,15800,37600,48800,83360,4330560,3157947,1172614
1999, May ,"30,750",5.1,15900,37600,48900,113181,4288806,3177925,1110883
1999, Jun ,"36,150",6,16000,37500,49400,117795,5178165,3938501,1239666
1999, Jul ,"32,600",5.4,16300,37100,49700,118114,5829823,4260970,1568850
1999, Aug ,"30,950",5.1,16200,37100,49600,118182,5408720,3890960,1517764
1999, Sep ,"31,750",5.3,16200,36800,49800,77749,4371295,3047218,1324080
1999, Oct ,"29,600",4.9,16200,37600,49300,123522,4911186,3593007,1318177
1999, Nov ,"28,850",4.8,16300,38200,49500,117209,4632346,3316616,1315730
1999, Dec ,"25,600",4.2,16400,38500,50000,108232,5356424,3884389,1472033
2000, Jan ,"27,650",4.6,16200,37700,49400,100434,5319915,3843820,1476096
2000, Feb ,"26,500",4.4,16100,37900,50000,131980,5204348,3660137,1544211
2000, Mar ,"25,850",4.2,16300,38300,50500,119421,5473230,3838142,1635088
2000, Apr ,"25,000",4.1,16300,38600,50600,109112,4789044,3513515,1275528
2000, May ,"26,000",4.3,16300,38700,50700,167605,4622620,3461115,1161505
2000, Jun ,"29,450",4.8,16600,38800,51600,116189,5586566,4416133,1170434
2000, Jul ,"25,900",4.3,16600,38600,51900,130422,5936270,4540674,1395596
2000, Aug ,"26,100",4.3,16800,38600,52100,143582,5466582,3970553,1496029
2000, Sep ,"25,850",4.3,16800,38800,51800,103415,4369177,3087697,1281480
2000, Oct ,"23,650",3.9,16800,39000,51300,163908,4730770,3530228,1200542
2000, Nov ,"23,850",3.9,16800,38900,51800,115050,4614238,3358125,1256113
2000, Dec ,"22,100",3.6,16800,39000,52400,111484,5608391,3959451,1648940
2001, Jan ,"25,200",4.1,16700,38900,50700,117188,5628265,4123699,1504566
2001, Feb ,"24,050",4,16700,39100,51200,116237,4941711,3515073,1426638
2001, Mar ,"24,400",4,16700,39100,51700,129102,5355904,3755791,1600113
2001, Apr ,"26,250",4.3,16600,38900,51300,119748,4645722,3429732,1215990
2001, May ,"23,800",3.9,16700,38800,51400,162546,4391613,3345256,1046358
2001, Jun ,"29,050",4.8,16700,38700,52000,141346,5485939,4216048,1269891
2001, Jul ,"25,200",4.1,16600,38600,51600,165620,5990893,4493134,1497758
2001, Aug ,"24,300",4,16700,38900,52000,117586,5723244,4100236,1623008
2001, Sep ,"24,750",4.1,16600,39000,51300,137772,3251896,2436279,815617
2001, Oct ,"27,950",4.6,16100,36500,49200,160692,3570250,2868534,701716
2001, Nov ,"31,600",5.2,16100,36100,49100,99732,3805947,3002204,803743
2001, Dec ,"26,200",4.3,16100,35900,49900,118171,4968859,3822812,1146047
2002, Jan ,"28,400",4.7,15700,35800,49500,121141,4955561,3778312,1177249
2002, Feb ,"25,600",4.2,15700,36000,50000,80488,4710326,3557882,1152444
2002, Mar ,"25,000",4.1,15800,36300,50700,134653,4981201,3699770,1281431
2002, Apr ,"24,400",4.1,15200,36200,50900,126114,4159427,3153334,1006093
2002, May ,"23,700",3.9,15300,36200,51700,182050,4413072,3419033,994038
2002, Jun ,"27,750",4.6,15500,36600,52100,128921,5366739,4295730,1071009
2002, Jul ,"24,050",4,15300,36700,51800,136693,5765263,4522792,1242471
2002, Aug ,"22,900",3.8,15200,36900,51900,184056,5554370,4117814,1436556
2002, Sep ,"23,900",4,15000,36900,51400,176804,4098107,2976588,1121519
2002, Oct ,"22,100",3.7,15000,36300,51100,187940,4488522,3374189,1114333
2002, Nov ,"22,650",3.8,15100,36600,51800,138093,4480915,3275715,1205201
2002, Dec ,"19,550",3.3,15100,36800,52000,175074,5497583,4004534,1493049
2003, Jan ,"23,050",3.8,14800,37100,51200,253773,5256581,3778855,1477726
2003, Feb ,"21,050",3.5,14800,37100,51800,164468,4682431,3333980,1348451
2003, Mar ,"21,800",3.6,14800,37300,52400,236890,4773694,3586934,1186761
2003, Apr ,"22,450",3.7,15000,36900,51900,159860,4302021,3491179,810842
2003, May ,"22,700",3.8,15000,36800,52500,227143,4227250,3369679,857571
2003, Jun ,"29,650",4.9,15100,36700,52900,329689,5191266,4401265,790001
2003, Jul ,"24,600",4.1,15100,37000,53300,214742,5903010,4771654,1131356
2003, Aug ,"23,900",4,15100,37300,53600,183696,5813347,4388192,1425155
2003, Sep ,"25,850",4.3,15200,37300,53400,132533,4048526,2978815,1069711
2003, Oct ,"23,700",3.9,15400,37200,53000,169370,4472070,3389553,1082517
2003, Nov ,"23,700",3.9,15500,37300,53400,137577,4411213,3294071,1117143
2003, Dec ,"20,500",3.4,15600,37700,54400,151493,5701290,4252807,1448483
2004, Jan ,"22,350",3.7,15400,37600,53600,209370,5412527,4032564,1379963
2004, Feb ,"20,750",3.4,15500,37700,54500,264709,5032956,3766550,1266406
2004, Mar ,"21,550",3.5,15400,37900,54700,306671,5159117,3870486,1288631
2004, Apr ,"19,900",3.3,15500,37800,54900,294299,4663810,3705930,957881
2004, May ,"19,000",3.1,15500,38000,55100,128356,4698207,3686589,1011618
2004, Jun ,"23,800",3.9,15700,38200,55900,296211,5643628,4598160,1045468
2004, Jul ,"19,650",3.2,15500,38400,56300,181258,6341213,5111387,1229826
2004, Aug ,"19,000",3.1,15500,38400,56700,219947,5822234,4464517,1357716
2004, Sep ,"20,100",3.3,15500,38200,56700,196382,4482658,3316092,1166566
2004, Oct ,"19,300",3.2,15400,38500,56000,278077,4830436,3713852,1116584
2004, Nov ,"19,650",3.2,15500,38600,56600,191083,4645251,3543593,1101658
2004, Dec ,"16,850",2.7,15500,38800,56900,160174,6029951,4632043,1397909
2005, Jan ,"18,650",3,15300,38700,55600,177023,5955054,4501775,1453279
2005, Feb ,"18,150",2.9,15400,38800,56200,171418,5355389,4098918,1256472
2005, Mar ,"17,050",2.7,15400,39100,56900,358095,5980895,4605170,1375725
2005, Apr ,"16,900",2.7,15300,38900,57000,257778,4706970,3661430,1045540
2005, May ,"16,300",2.6,15300,39000,57200,212494,4882235,3846990,1035245
2005, Jun ,"20,950",3.3,15300,39300,58100,258254,6120621,5020744,1099876
2005, Jul ,"17,750",2.8,15300,39400,57900,235996,6950956,5584150,1366807
2005, Aug ,"17,000",2.7,15500,39500,58000,300010,6352687,4929426,1423261
2005, Sep ,"19,050",3,15500,39600,57800,514541,4772839,3637506,1135333
2005, Oct ,"17,300",2.7,15400,39400,56800,377650,5252430,4003153,1249277
2005, Nov ,"18,200",2.9,15400,39300,57300,363710,4961161,3914538,1046623
2005, Dec ,"14,900",2.4,15500,39500,58000,264995,6396241,4900869,1495371
2006, Jan ,"15,900",2.5,15200,39300,57000,194251,6253496,4830369,1423127
2006, Feb ,"16,000",2.5,15300,39500,57800,245742,5602392,4265327,1337065
2006, Mar ,"16,650",2.6,15400,39600,58400,326244,6023952,4367930,1656022
